symbol,market_cap
btc,1323444406903
eth,442636641085
usdt,112028964552
bnb,91007136980
sol,75041804984
steth,34297358239
usdc,32725900843
xrp,28880528244
doge,22849624436
ton,21360814606
ada,16205688871
avax,14740971506
shib,14134048131
wbtc,10440795532
trx,9975516686
link,9896396748
dot,9679362878
bch,9518605425
near,8292442652
uni,6842516534
matic,6653892186
ltc,6305014579
pepe,5893492987
fet,5785987807
icp,5626381584
leo,5536403345
dai,5317206568
etc,4667462055
weeth,4425437237
rndr,3865808459
apt,3841600384
hbar,3799339621
ezeth,3605991307
imx,3467694907
fdusd,3278797590
mnt,3233999057
atom,3227981005
cro,3201757114
fil,3187794980
xlm,3133143403
kas,3108650152
grt,3046789702
arb,3046515153
tao,2975816837
okb,2914997844
stx,2807086257
wif,2755041438
op,2714615325
usde,2665851200
ar,2579189723
xmr,2565059962
mkr,2558063109
vet,2505549161
sui,2442874297
inj,2357388125
theta,2288050712
ftm,2274929951
bonk,2187393276
floki,2095625884
reth,2070390327
rune,2055978779
ldo,2034530260
meth,1735314773
gala,1699207560
tia,1644781355
bgb,1548889228
pyth,1547150293
ondo,1534816635
jup,1494788211
sei,1484362405
algo,1466682953
core,1438728262
aave,1435008641
wbt,1427539819
strk,1397903099
flow,1379830007
qnt,1348594797
beam,1314397120
ena,1256881995
bsv,1234732159
agix,1232955388
akt,1228071319
tkx,1146908997
btt,1141861409
cheel,1122492997
axs,1113067508
flr,1109539220
dydx,1089079382
zbc,1060380628
neo,1047158816
ron,1033561791
gt,1029388493
chz,1024983440
w,1017653427
egld,1015641242
wld,1006284318
jasmy,1003937644
msol,999487931
sand,997853004
kcs,972404365
pendle,955590561
safe,954137307
xec,941906476
eos,939342924
rseth,929930617
snx,925625461
xtz,923509662
aioz,922112228
gno,921875310
cfx,897725340
mina,896354511
eeth,882652534
rbn,866972873
bome,845037066
mana,832936816
ape,804559996
ordi,775016557
nexo,771074882
stsol,770495933
cake,764924410
frxeth,740686208
ens,736701054
usdd,732200721
iota,729572440
lpt,724912853
blur,718151686
kava,710206715
hnt,691280464
dexe,688651850
sweth,674610462
ckb,674464078
tfuel,673719366
cbeth,673060676
klay,668109466
prime,654103987
frax,648410035
lunc,646569621
ftn,636914543
btg,627907506
ocean,623973434
corgiai,615898944
woo,597970882
